year,pnl
1998,-0.0347610158706392
2003,0.3450658214511585
2006,0.0828653675083505
2007,0.1087438467514077
2008,0.16872177959581902
2009,1.0663830159292218
2010,-0.029308352166548902
2011,0.0116701710787116
2012,0.21476096336965
2013,-0.0001625806451612
2014,0.0080817550478702
2015,0.0825714772584414
2016,0.0749907519780591
2017,0.0126835009714389
2018,-0.2480953215983421
2019,0.2556543081628414
2022,0.12981807916051058
2023,0.2930359158694083
2024,-0.017016776733055725
2025,0.21988311222711
