exit_time,equity,drawdown
1997-09-30,1.0003490305434946,0.0
2003-06-30,1.084893614461802,0.0
2005-09-30,1.1426342621060666,0.0
2007-11-30,1.2051922757943263,0.0
2007-12-07,1.2164299668708878,0.0
2007-12-14,1.2520029393104464,0.0
2008-04-11,1.225679584436257,-0.021024994469012404
2008-04-18,1.1237787580685057,-0.10241523978574796
2008-05-30,1.1164805802594884,-0.1082444416029873
2008-06-06,1.1467198276054735,-0.08409174483484727
2008-07-18,1.1828386563237447,-0.05524290783597885
2008-08-29,1.1939584319176657,-0.04636131878791694
2008-09-26,1.268285349294512,0.0
2008-10-31,1.2476215997426991,-0.016292665970877307
2008-11-07,1.3116417280153962,0.0
2009-03-31,1.716341604483825,0.0
2009-06-30,2.063030303962029,0.0
2009-09-30,1.9867558113736803,-0.03697206601466985
2009-12-31,2.112941675454014,0.0
2010-06-04,2.1121373166791138,-0.0003806819583541676
2011-09-02,2.1474585698736464,0.0
2012-01-06,2.0319306586573807,-0.05379750409949158
2012-01-13,2.033104062012623,-0.05325108920157284
2012-01-20,2.1892548991268392,0.0
2012-03-30,2.253294369403307,0.0
2012-06-22,2.244077368395213,-0.004090455793636427
2012-06-29,2.2245006644293617,-0.012778492399805774
2012-07-06,2.2915204878564004,0.0
2012-08-17,2.2996211772286888,0.0
2013-03-22,2.341179614235778,0.0
2014-01-31,2.3314715541660846,-0.004146653255761579
2015-02-06,2.3472931954309453,0.0
2015-02-13,2.380610101548373,0.0
2015-08-21,2.4104869559835573,0.0
2015-08-28,2.430090988662448,0.0
2015-09-04,2.5037668534348105,0.0
2015-09-18,2.6437114120348504,0.0
2015-12-31,2.5722116710912557,-0.02704521401924187
2016-03-31,2.74584592296272,0.0
2017-01-06,2.766849214901096,0.0
2018-05-04,2.7878849546266085,0.0
2018-06-29,2.701985150801432,-0.03081181799938426
2018-07-20,2.797865495322535,0.0
2018-07-31,2.7990576267422607,0.0
2018-08-10,2.77587002521629,-0.008284074362898464
2018-08-17,2.704130875623614,-0.033913825214498705
2018-08-24,2.684072064234459,-0.04108009831924386
2018-08-31,2.620515538554354,-0.06378649959976224
2018-09-28,2.603304079172459,-0.06993551890449412
2018-10-31,2.4789413862175254,-0.11436571990027555
2018-11-30,2.5549160818699543,-0.08722276474045132
2018-12-07,2.589290647126284,-0.0749420010548757
2018-12-14,2.60648719134537,-0.06879831038742046
2019-03-29,3.443922575715758,0.0
2019-06-14,3.448013479843372,0.0
2019-06-21,3.479703719721531,0.0
2022-04-29,3.399691821947167,-0.022993882301211244
2022-05-06,3.375872283132073,-0.029839160156361566
2022-05-13,3.425720016975629,-0.015513879081125337
2022-05-20,3.5559463112751457,0.0
2022-06-03,3.6307699054494345,0.0
2022-06-30,3.6708415672786416,0.0
2022-07-29,3.783065757486514,0.0
2022-08-05,3.8767714739824632,0.0
2022-10-14,3.888083596051207,0.0
2022-10-28,3.886923613590095,-0.0002983429837490892
2022-10-31,3.6013083800020063,-0.0737574717633267
2022-11-04,3.6042436624375807,-0.07300252852122269
2022-11-30,4.052534243541643,0.0
2022-12-30,4.292537425612602,0.0
2023-06-02,4.288056560258086,-0.0010438733341682216
2023-06-09,4.376537364302549,0.0
2023-12-22,4.438537659026394,0.0
2024-02-16,4.424021635870779,-0.0032704517277428735
2024-02-23,4.374964397396083,-0.014323019542489601
2024-03-01,4.3407103504708,-0.022040436754354964
2024-03-08,4.370382516752136,-0.015355314635137618
2024-06-28,4.14503036045855,-0.06612702676318516
2024-07-12,4.136204515555219,-0.06811548458000294
2024-07-19,4.223478271336049,-0.04845275723931086
2024-09-30,5.068218275622568,0.0
2025-03-21,5.097320699707929,0.0
2025-03-31,4.896914656797595,-0.039315957287485825
2025-06-30,4.7937741358123205,-0.05955021898327906
2025-09-30,4.939446997580099,-0.030971899048234497
