bin_left,bin_right,bin_center,count
-0.073481051335682,-0.06632149232573381,-0.0699012718307079,1
-0.06632149232573381,-0.05916193331578562,-0.06274171282075972,0
-0.05916193331578562,-0.05200237430583743,-0.055582153810811524,0
-0.05200237430583743,-0.04484281529588924,-0.04842259480086333,2
-0.04484281529588924,-0.037683256285941054,-0.04126303579091514,1
-0.037683256285941054,-0.030523697275992863,-0.03410347678096696,4
-0.030523697275992863,-0.023364138266044672,-0.026943917771018767,1
-0.023364138266044672,-0.01620457925609648,-0.019784358761070577,7
-0.01620457925609648,-0.009045020246148297,-0.012624799751122389,5
-0.009045020246148297,-0.001885461236200106,-0.0054652407411742016,21
-0.001885461236200106,0.005274097773748085,0.0016943182687739894,21
0.005274097773748085,0.012433656783696276,0.00885387727872218,37
0.012433656783696276,0.019593215793644467,0.01601343628867037,8
0.019593215793644467,0.026752774803592658,0.023172995298618562,6
0.026752774803592658,0.03391233381354085,0.030332554308566753,12
0.03391233381354085,0.04107189282348904,0.037492113318514944,7
0.04107189282348904,0.04823145183343723,0.044651672328463135,4
0.04823145183343723,0.05539101084338541,0.05181123133841132,5
0.05539101084338541,0.0625505698533336,0.0589707903483595,4
0.0625505698533336,0.06971012886328179,0.0661303493583077,3
0.06971012886328179,0.07686968787322998,0.07328990836825588,1
0.07686968787322998,0.08402924688317817,0.08044946737820408,0
0.08402924688317817,0.09118880589312636,0.08760902638815227,0
0.09118880589312636,0.09834836490307455,0.09476858539810046,0
0.09834836490307455,0.10550792391302274,0.10192814440804865,0
0.10550792391302274,0.11266748292297094,0.10908770341799684,0
0.11266748292297094,0.11982704193291913,0.11624726242794503,0
0.11982704193291913,0.12698660094286732,0.12340682143789322,1
0.12698660094286732,0.1341461599528155,0.1305663804478414,0
0.1341461599528155,0.1413057189627637,0.1377259394577896,1
