exit_time,equity
1997-09-30,1.0003490305434946
2003-06-30,1.084893614461802
2005-09-30,1.1426342621060666
2007-11-30,1.2051922757943263
2007-12-07,1.2164299668708878
2007-12-14,1.2520029393104464
2008-04-11,1.225679584436257
2008-04-18,1.1237787580685055
2008-05-30,1.1164805802594884
2008-06-06,1.1467198276054735
2008-07-18,1.1828386563237447
2008-08-29,1.1939584319176655
2008-09-26,1.2682853492945119
2008-10-31,1.2476215997426991
2008-11-07,1.3116417280153962
2009-03-31,1.7163416044838247
2009-06-30,2.0630303039620292
2009-09-30,1.9867558113736805
2009-12-31,2.112941675454014
2010-06-04,2.1121373166791138
2011-09-02,2.1474585698736464
2012-01-06,2.0319306586573807
2012-01-13,2.033104062012623
2012-01-20,2.1892548991268392
2012-03-30,2.253294369403307
2012-06-22,2.244077368395213
2012-06-29,2.2245006644293617
2012-07-06,2.2915204878564004
2012-08-17,2.2996211772286888
2013-03-22,2.341179614235778
2014-01-31,2.3314715541660846
2015-02-06,2.3472931954309453
2015-02-13,2.380610101548373
2015-08-21,2.4104869559835573
2015-08-28,2.430090988662448
2015-09-04,2.5037668534348105
2015-09-18,2.6437114120348504
2015-12-31,2.5722116710912553
2016-03-31,2.7458459229627197
2017-01-06,2.766849214901096
2018-05-04,2.7878849546266085
2018-06-29,2.701985150801432
2018-07-20,2.797865495322535
2018-07-31,2.7990576267422607
2018-08-10,2.77587002521629
2018-08-17,2.704130875623614
2018-08-24,2.684072064234459
2018-08-31,2.620515538554354
2018-09-28,2.603304079172459
2018-10-31,2.4789413862175254
2018-11-30,2.5549160818699543
2018-12-07,2.589290647126284
2018-12-14,2.60648719134537
2019-03-29,3.443922575715758
2019-06-14,3.448013479843372
2019-06-21,3.479703719721531
2022-04-29,3.399691821947167
2022-05-06,3.3758722831320735
2022-05-13,3.4257200169756286
2022-05-20,3.5559463112751457
2022-06-03,3.6307699054494345
2022-06-30,3.6708415672786416
2022-07-29,3.783065757486514
2022-08-05,3.8767714739824632
2022-10-14,3.8880835960512066
2022-10-28,3.8869236135900946
2022-10-31,3.6013083800020063
2022-11-04,3.6042436624375807
2022-11-30,4.052534243541643
2022-12-30,4.292537425612602
2023-06-02,4.288056560258086
2023-06-09,4.376537364302549
2023-12-22,4.438537659026394
2024-02-16,4.424021635870779
2024-02-23,4.374964397396083
2024-03-01,4.3407103504708
2024-03-08,4.3703825167521355
2024-06-28,4.14503036045855
2024-07-12,4.136204515555219
2024-07-19,4.223478271336049
2024-09-30,5.068218275622568
2025-03-21,5.097320699707929
2025-03-31,4.896914656797595
2025-06-30,4.7937741358123205
2025-09-30,4.939446997580099
